index,from_date,to_date,start_time,end_time,sl,options_multiplier,decay,type,day,slipage,run_dt,run
NIFTY,01-01-2022,29-11-2024,09:38:00,15:25:00,10,1,10,BUY,4,1.0,True,True
NIFTY,01-01-2022,29-11-2024,09:40:00,15:25:00,10,1,10,BUY,4,1.0,True,True
NIFTY,01-01-2022,29-11-2024,09:42:00,15:25:00,10,1,10,BUY,4,1.0,True,True
NIFTY,01-01-2022,29-11-2024,09:44:00,15:25:00,10,1,10,BUY,4,1.0,True,True
NIFTY,01-01-2022,29-11-2024,09:46:00,15:25:00,10,1,10,BUY,4,1.0,True,True
NIFTY,01-01-2022,29-11-2024,09:48:00,15:25:00,10,1,10,BUY,4,1.0,True,True
NIFTY,01-01-2022,29-11-2024,09:50:00,15:25:00,10,1,10,BUY,4,1.0,True,True
NIFTY,01-01-2022,29-11-2024,09:52:00,15:25:00,10,1,10,BUY,4,1.0,True,True
SENSEX,01-01-2024,29-11-2024,09:20:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:22:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:24:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:26:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:28:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:30:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:32:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:34:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:36:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:38:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:40:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:42:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:44:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:46:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:48:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:50:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:52:00,15:29:00,15,1,10,BUY,1,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:20:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:22:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:24:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:26:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:28:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:30:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:32:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:34:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:36:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:38:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:40:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:42:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:44:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:46:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:48:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:50:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:52:00,15:25:00,15,1,10,BUY,2,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:20:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:22:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:24:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:26:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:28:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:30:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:32:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:34:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:36:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:38:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:40:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:42:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:44:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:46:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:48:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:50:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:52:00,15:25:00,10,1,10,BUY,3,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:20:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:22:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:24:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:26:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:28:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:30:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:32:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:34:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:36:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:38:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:40:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:42:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:44:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:46:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:48:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:50:00,15:25:00,10,1,10,BUY,4,1.25,True,True
SENSEX,01-01-2024,29-11-2024,09:52:00,15:25:00,10,1,10,BUY,4,1.25,True,True
