index,from_date,to_date,start_time,end_time,ut_end_time,sl,ut_sl,options_multiplier,day,slipage,run
NIFTY,01-01-2022,29-11-2024,11:00:00,15:25:00,,20,50,0.4,3,1.0,True
NIFTY,01-01-2022,29-11-2024,11:05:00,15:25:00,,20,50,0.4,3,1.0,True
NIFTY,01-01-2022,29-11-2024,09:20:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,09:25:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,09:30:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,09:35:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,09:40:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,09:45:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,09:50:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,09:55:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:00:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:05:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:10:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:15:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:20:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:25:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:30:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:35:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:40:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:45:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:50:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,10:55:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,11:00:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,11:05:00,15:25:00,,20,50,0.4,4,1.0,True
NIFTY,01-01-2022,29-11-2024,09:20:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,09:25:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,09:30:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,09:35:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,09:40:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,09:45:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,09:50:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,09:55:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:00:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:05:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:10:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:15:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:20:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:25:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:30:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:35:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:40:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:45:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:50:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,10:55:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,11:00:00,15:25:00,,20,50,0.4,5,1.0,True
NIFTY,01-01-2022,29-11-2024,11:05:00,15:25:00,,20,50,0.4,5,1.0,True
SENSEX,01-01-2024,29-11-2024,09:20:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,09:25:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,09:30:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,09:35:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,09:40:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,09:45:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,09:50:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,09:55:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:00:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:05:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:10:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:15:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:20:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:25:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:30:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:35:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:40:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:45:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:50:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,10:55:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,11:00:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,11:05:00,15:28:00,,25,50,0.4,1,1.25,True
SENSEX,01-01-2024,29-11-2024,09:20:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,09:25:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,09:30:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,09:35:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,09:40:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,09:45:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,09:50:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,09:55:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:00:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:05:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:10:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:15:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:20:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:25:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:30:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:35:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:40:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:45:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:50:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,10:55:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,11:00:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,11:05:00,15:25:00,,25,50,0.2,2,1.25,True
SENSEX,01-01-2024,29-11-2024,09:20:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,09:25:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,09:30:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,09:35:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,09:40:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,09:45:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,09:50:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,09:55:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:00:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:05:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:10:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:15:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:20:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:25:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:30:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:35:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:40:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:45:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:50:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,10:55:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,11:00:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,11:05:00,15:25:00,,25,50,0.2,3,1.25,True
SENSEX,01-01-2024,29-11-2024,09:20:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,09:25:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,09:30:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,09:35:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,09:40:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,09:45:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,09:50:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,09:55:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:00:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:05:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:10:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:15:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:20:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:25:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:30:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:35:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:40:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:45:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:50:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,10:55:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,11:00:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,11:05:00,15:25:00,,25,50,0.2,4,1.25,True
SENSEX,01-01-2024,29-11-2024,09:20:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,09:25:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,09:30:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,09:35:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,09:40:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,09:45:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,09:50:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,09:55:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:00:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:05:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:10:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:15:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:20:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:25:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:30:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:35:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:40:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:45:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:50:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,10:55:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,11:00:00,15:25:00,,25,50,0.2,5,1.25,True
SENSEX,01-01-2024,29-11-2024,11:05:00,15:25:00,,25,50,0.2,5,1.25,True
