index,from_date,to_date,start_time,end_time,sl,options_multiplier,day,slipage,run_b120,run
NIFTY,01-01-2022,29-11-2024,14:48:00,15:25:00,100,1,2,1,True,True
NIFTY,01-01-2022,29-11-2024,14:55:00,15:25:00,100,1,2,1,True,True
NIFTY,01-01-2022,29-11-2024,15:02:00,15:25:00,100,1,2,1,True,True
NIFTY,01-01-2022,29-11-2024,13:10:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,13:17:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,13:24:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,13:31:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,13:38:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,13:45:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,13:52:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,13:59:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,14:06:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,14:13:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,14:20:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,14:27:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,14:34:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,14:41:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,14:48:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,14:55:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,15:02:00,15:25:00,100,1,3,1,True,True
NIFTY,01-01-2022,29-11-2024,13:10:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,13:17:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,13:24:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,13:31:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,13:38:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,13:45:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,13:52:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,13:59:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,14:06:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,14:13:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,14:20:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,14:27:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,14:34:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,14:41:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,14:48:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,14:55:00,15:25:00,100,1,4,1,True,True
NIFTY,01-01-2022,29-11-2024,15:02:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,13:10:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,13:17:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,13:24:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,13:31:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,13:38:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,13:45:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,13:52:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,13:59:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,14:06:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,14:13:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,14:20:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,14:27:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,14:34:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,14:41:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,14:48:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,14:55:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,15:02:00,15:27:00,100,1,1,1,True,True
SENSEX,01-01-2024,29-11-2024,13:10:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,13:17:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,13:24:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,13:31:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,13:38:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,13:45:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,13:52:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,13:59:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,14:06:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,14:13:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,14:20:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,14:27:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,14:34:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,14:41:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,14:48:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,14:55:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,15:02:00,15:25:00,100,1,2,1,True,True
SENSEX,01-01-2024,29-11-2024,13:10:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,13:17:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,13:24:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,13:31:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,13:38:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,13:45:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,13:52:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,13:59:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,14:06:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,14:13:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,14:20:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,14:27:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,14:34:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,14:41:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,14:48:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,14:55:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,15:02:00,15:25:00,100,1,3,1,True,True
SENSEX,01-01-2024,29-11-2024,13:10:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,13:17:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,13:24:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,13:31:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,13:38:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,13:45:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,13:52:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,13:59:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,14:06:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,14:13:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,14:20:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,14:27:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,14:34:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,14:41:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,14:48:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,14:55:00,15:25:00,100,1,4,1,True,True
SENSEX,01-01-2024,29-11-2024,15:02:00,15:25:00,100,1,4,1,True,True
