Date,Day,Expiry.Day,Start.Time,End.Time,Future,Strike,CE Price,PE Price,Premium,SL.Time,Target,UT Scrip,UT.open,UT.high,UT.low,UT.close,Straddle.PL,UT.PL,Total PNL
2024-01-02,Tuesday,FALSE,09:44:00,15:25:00,21858.85,"('22000CE', '21500PE')",21.95,21.1,43.05,2024-01-02 09:57:00,42.0,21800CE,53.8,56.35,26.05,28.2,-9.0405,25.061999999999998,16.021499999999996
2024-01-09,Tuesday,FALSE,09:44:00,15:25:00,21685.5,"('21800CE', '21450PE')",28.8,31.6,60.400000000000006,2024-01-09 10:44:00,42.0,21650PE,56.55,154.6,48.9,130.95,-12.684000000000001,-17.5305,-30.2145
2024-01-16,Tuesday,FALSE,09:44:00,15:25:00,22085.0,"('22250CE', '21800PE')",31.75,31.65,63.4,,44.0,,,,,,19.915999999999997,0.0,19.915999999999997
2024-01-23,Tuesday,FALSE,09:44:00,15:25:00,21767.45,"('22000CE', '21500PE')",24.35,27.15,51.5,2024-01-23 10:01:00,42.0,21850CE,48.35,50.3,6.5,7.0,-10.815000000000001,40.8665,30.0515
2024-01-30,Tuesday,FALSE,09:44:00,15:25:00,21896.05,"('22300CE', '21200PE')",25.45,26.05,51.5,,42.0,,,,,,7.235,0.0,7.235
2024-02-06,Tuesday,FALSE,09:44:00,15:25:00,21885.0,"('22200CE', '21400PE')",25.4,24.25,49.65,,42.0,,,,,,10.303499999999998,0.0,10.303499999999998
2024-02-13,Tuesday,FALSE,09:44:00,15:25:00,21698.75,"('21950CE', '21250PE')",27.75,27.45,55.2,,42.0,,,,,,10.398000000000003,0.0,10.398000000000003
2024-02-20,Tuesday,FALSE,09:44:00,15:25:00,22145.95,"('22400CE', '21700PE')",25.45,22.95,48.4,,44.0,,,,,,5.465999999999996,0.0,5.465999999999996
2024-02-27,Tuesday,FALSE,09:44:00,15:25:00,22135.0,"('22450CE', '21750PE')",25.75,23.15,48.9,,44.0,,,,,,19.160999999999998,0.0,19.160999999999998
2024-03-05,Tuesday,FALSE,09:44:00,15:25:00,22464.75,"('22600CE', '22050PE')",25.6,28.25,53.85,,44.0,,,,,,22.061500000000002,0.0,22.061500000000002
2024-03-12,Tuesday,FALSE,09:44:00,15:25:00,22508.95,"('22700CE', '22150PE')",23.85,23.25,47.1,2024-03-12 10:47:00,44.0,22450CE,59.65,95.2,60.85,64.95,-9.891,-18.4915,-28.3825
2024-03-19,Tuesday,FALSE,09:44:00,15:25:00,22048.9,"('22250CE', '21700PE')",30.0,33.0,63.0,2024-03-19 10:03:00,44.0,22100CE,48.5,48.9,20.2,21.7,-13.230000000000002,26.315,13.084999999999999
2024-03-26,Tuesday,FALSE,09:44:00,15:25:00,22074.55,"('22300CE', '21750PE')",27.5,26.0,53.5,,44.0,,,,,,20.014999999999997,0.0,20.014999999999997
2024-04-02,Tuesday,FALSE,09:44:00,15:25:00,22593.85,"('22700CE', '22200PE')",26.25,22.3,48.55,,44.0,,,,,,18.464499999999997,0.0,18.464499999999997
2024-04-08,Monday,FALSE,09:44:00,15:25:00,22688.95,"('22800CE', '22400PE')",32.65,35.1,67.75,,44.0,,,,,,9.772499999999996,0.0,9.772499999999996
2024-04-15,Monday,FALSE,09:44:00,15:25:00,22378.75,"('22650CE', '21900PE')",23.5,21.4,44.9,2024-04-15 10:59:00,44.0,22300PE,52.35,104.45,52.05,93.75,-9.429,-16.2285,-25.6575
2024-04-23,Tuesday,FALSE,09:44:00,15:25:00,22380.5,"('22600CE', '22100PE')",22.6,26.7,49.3,,44.0,,,,,,16.706999999999997,0.0,16.706999999999997
2024-04-29,Monday,FALSE,09:44:00,15:25:00,22611.0,"('22800CE', '22200PE')",24.25,23.9,48.15,2024-04-29 13:39:00,44.0,22500PE,51.05,55.85,42.25,46.5,-10.111500000000001,4.039499999999997,-6.0720000000000045
2024-05-07,Tuesday,FALSE,09:44:00,15:25:00,22553.6,"('22750CE', '22200PE')",29.45,31.8,61.25,2024-05-07 10:04:00,44.0,22600CE,44.9,51.3,17.75,24.0,-12.8625,20.450999999999997,7.588499999999996
2024-05-14,Tuesday,FALSE,09:44:00,15:25:00,22222.1,"('22400CE', '21800PE')",28.45,26.1,54.55,,44.0,,,,,,13.404499999999995,0.0,13.404499999999995
2024-05-21,Tuesday,FALSE,09:44:00,15:25:00,22538.2,"('22750CE', '22150PE')",25.5,27.95,53.45,,44.0,,,,,,14.615500000000006,0.0,14.615500000000006
2024-05-28,Tuesday,FALSE,09:44:00,15:25:00,23000.7,"('23300CE', '22600PE')",27.25,27.55,54.8,,46.0,,,,,,19.651999999999997,0.0,19.651999999999997
2024-06-04,Tuesday,FALSE,09:44:00,15:25:00,22679.0,"('24700CE', '20250PE')",52.35,26.15,78.5,,44.0,,,,,,51.965,0.0,51.965
2024-06-11,Tuesday,FALSE,09:44:00,15:25:00,23270.0,"('23600CE', '22800PE')",28.65,26.95,55.599999999999994,,46.0,,,,,,28.293999999999993,0.0,28.293999999999993
